timestep,reward
24000,-2877.089497017159
48000,-2606.822039556962
72000,-2338.4773603484805
96000,-2036.507126741153
120000,-1730.542266295619
144000,-1384.7545688448408
168000,-1033.1083338756268
192000,-686.9605801196445
216000,-368.3545623959597
240000,-229.56218724852812
264000,-57.90119362299356
288000,4.666955265736598
312000,76.53577649361532
336000,154.44134286107655
360000,207.78974043398512
384000,258.0651415921915
408000,312.2294334386911
432000,336.3839044973456
456000,362.03264309691366
480000,409.6767841795077
504000,452.6959859632422
528000,500.0385608104887
552000,516.7148793932404
576000,567.033815021958
600000,609.6981880014041
624000,589.1598773747779
648000,618.167186331311
672000,626.8139965439791
696000,661.1573179724893
720000,672.7317647238428
744000,716.4759214889885
768000,720.8293778798992
792000,752.1863667049314
816000,774.3199467211971
840000,807.0308219518398
864000,810.8845508945702
888000,853.9400950218964
912000,907.5377543169736
936000,880.4991383781847
960000,944.8543735692552
984000,915.747412536528
24000,959.9983853374184
48000,989.1987677803613
72000,989.5897803896702
96000,1002.6604487785402
120000,1015.2246485730611
144000,1009.7387457078215
168000,1043.3494998096812
192000,1167.7105751983981
216000,1132.288971957931
240000,1171.4255405289439
264000,1231.2577389301898
288000,1219.0675314466253
312000,1309.3944989770873
336000,1315.8953548795141
